,mouse_id,region,treatment,sex,time,density
432,0,MOp6b,morphine,M,1h,48.96946481816006
433,1,MOp6b,morphine,M,4h,5.4410516464622285
434,2,MOp6b,saline,M,1h,76.1747230504712
435,3,MOp6b,saline,M,4h,0.0
436,4,MOp6b,morphine,F,4h,146.90839445448017
437,5,MOp6b,saline,F,4h,0.0
438,6,MOp6b,morphine,M,1h,266.61153067664924
439,7,MOp6b,morphine,M,4h,32.64630987877337
440,8,MOp6b,saline,M,4h,0.0
441,9,MOp6b,morphine,F,4h,27.205258232311145
442,10,MOp6b,saline,F,1h,32.64630987877337
443,11,MOp6b,saline,M,1h,27.205258232311145
444,12,MOp6b,morphine,M,1h,0.0
445,13,MOp6b,saline,M,4h,0.0
446,14,MOp6b,morphine,M,1h,27.205258232311145
447,15,MOp6b,morphine,F,4h,5.4410516464622285
448,16,MOp6b,saline,F,4h,0.0
449,17,MOp6b,morphine,M,1h,5.4410516464622285
450,18,MOp6b,saline,M,1h,16.323154939386686
451,19,MOp6b,morphine,F,1h,21.764206585848914
452,20,MOp6b,morphine,F,1h,16.323154939386686
453,21,MOp6b,morphine,F,1h,5.4410516464622285
454,22,MOp6b,morphine,M,4h,108.82103292924458
455,23,MOp6b,morphine,M,4h,440.7251833634405
456,24,MOp6b,saline,F,1h,0.0
457,25,MOp6b,saline,F,4h,10.882103292924457
458,26,MOp6b,saline,F,4h,10.882103292924457
459,0,MOs,morphine,M,1h,1040.9932706457305
460,1,MOs,morphine,M,4h,584.547189302901
461,2,MOs,saline,M,1h,1498.1264258691563
462,3,MOs,saline,M,4h,400.94578009910356
463,4,MOs,morphine,F,4h,169.24919925356295
464,5,MOs,saline,F,4h,22.215388805948045
465,6,MOs,morphine,M,1h,156.95821094511746
466,7,MOs,morphine,M,4h,47.40809776114686
467,8,MOs,saline,M,4h,49.85102711437826
468,9,MOs,morphine,F,4h,103.13742363173819
469,10,MOs,saline,F,1h,103.59547288546906
470,11,MOs,saline,M,1h,60.61518457705412
471,12,MOs,morphine,M,1h,74.73836990042315
472,13,MOs,saline,M,4h,5.572932587059132
473,14,MOs,morphine,M,1h,196.3504467659738
474,15,MOs,morphine,F,4h,41.453457462645325
475,16,MOs,saline,F,4h,8.626594278598382
476,17,MOs,morphine,M,1h,115.12304577102974
477,18,MOs,saline,M,1h,14.50489303481144
478,19,MOs,morphine,F,1h,101.15254353223767
479,20,MOs,morphine,F,1h,129.16988955211028
480,21,MOs,morphine,F,1h,42.98028830841495
481,22,MOs,morphine,M,4h,249.40781865646827
482,23,MOs,morphine,M,4h,572.6379087058979
483,24,MOs,saline,F,1h,231.46755621867518
484,25,MOs,saline,F,4h,32.36881393031605
485,26,MOs,saline,F,4h,11.298548258695225
486,0,MOs1,morphine,M,1h,941.6374407113177
487,1,MOs1,morphine,M,4h,1899.220229388914
488,2,MOs1,saline,M,1h,1188.1439011629761
489,3,MOs1,saline,M,4h,788.2173359546911
490,4,MOs1,morphine,F,4h,15.945347966278607
491,5,MOs1,saline,F,4h,2.585732102639774
492,6,MOs1,morphine,M,1h,8.188151658359285
493,7,MOs1,morphine,M,4h,9.481017709679172
494,8,MOs1,saline,M,4h,13.359615863638833
495,9,MOs1,morphine,F,4h,26.288276376837704
496,10,MOs1,saline,F,1h,6.464330256599435
497,11,MOs1,saline,M,1h,9.05006235923921
498,12,MOs1,morphine,M,1h,7.32624095747936
499,13,MOs1,saline,M,4h,2.154776752199812
500,14,MOs1,morphine,M,1h,84.03629333579265
